"file","baseline.mean.omega","baseline.median.omega","num.branches","num.branches.pval.less.than.alpha","branches.pval.less.than.alpha","pvals.less.than.alpha"
"OG0010288-cds.json",0.210778694657895,0.127541161547952,11,1,"AALOS","5.095035504609768e-12"
"OG0012830-cds.json",0.353447512298224,0.169399696361894,11,1,"AALOS","0"
"OG0012434-cds.json",1.67759483398347,0.183116491069964,11,1,"AALOS","2.131073095767988e-13"
"OG0012974-cds.json",0.186038517313503,0.136954603635355,11,1,"AALOS","0"
"OG0011888-cds.json",909090909.254374,0.150983607924355,11,1,"AALOS","0"
"OG0011823-cds.json",1000000000.16245,0.141488079951916,11,1,"AALOS","1.540417793322035e-11"
"OG0010197-cds.json",0.122784550285351,0.0839295077622086,11,1,"AALOS","1.412279683754569e-07"
"OG0014197-cds.json",0.128907622687767,0.119888480535022,11,1,"AALOS","1.892641340872636e-07"
"OG0013145-cds.json",0.210024998640916,0.143340689148794,11,2,"AALOS;SPILC","0;3.835507500493662e-07"
"OG0011964-cds.json",0.119772832632131,0.0581302874410005,11,1,"AALOS","0"
"OG0011021-cds.json",909090909.277766,0.130943227957428,11,2,"AALOS;SPILC","0;5.051514762044462e-14"
"OG0014188-cds.json",909090909.221657,0.149841470988061,11,1,"AALOS","6.106226635438361e-16"
"OG0012700-cds.json",1000000000.10649,0.0853699404727708,11,1,"AALOS","2.076117056049043e-14"
"OG0014261-cds.json",909090909.262906,0.0865396911136677,11,1,"AALOS","7.684987037848146e-07"
"OG0012135-cds.json",909090909.185755,0.074422415786645,11,1,"AALOS","3.828829603369499e-08"
"OG0012498-cds.json",0.152930586501958,0.0928765113285629,11,1,"AALOS","0"
"OG0011495-cds.json",0.219520197753874,0.0849166887893066,11,1,"AALOS","0"
"OG0013637-cds.json",909090909.444572,0.223128598150963,11,1,"AALOS","0"
"OG0012978-cds.json",0.124464252714387,0.107454169237199,11,1,"AALOS","0"
"OG0010617-cds.json",0.127274659726835,0.0521775663440556,11,1,"AALOS","0"
"OG0012382-cds.json",0.194678626262846,0.0866430651274633,11,1,"AALOS","1.233457780358549e-13"
"OG0011375-cds.json",909090909.306677,0.1179303643523,11,1,"AALOS","3.488975774956771e-10"
"OG0012468-cds.json",0.204458254203788,0.0638660856600729,11,1,"AALOS","0"
"OG0011281-cds.json",0.097349721368918,0.076106272616186,11,1,"AALOS","7.327471962526033e-15"
"OG0012307-cds.json",909090909.200761,0.0465558499428344,11,1,"AALOS","0"
"OG0013154-cds.json",909090909.320031,0.128892063101287,11,1,"AALOS","5.543381995654073e-07"
"OG0012897-cds.json",0.103383070275943,0.0783674367074256,11,1,"AALOS","0"
"OG0014271-cds.json",0.198354776615522,0.157580197361425,11,1,"AALOS","0"
"OG0012338-cds.json",909090909.302383,0.22116381233936,11,1,"AALOS","0"
"OG0012596-cds.json",0.0589426901530405,0.040110401032844,11,1,"AALOS","3.663735981263017e-15"
"OG0011734-cds.json",0.166625502497279,0.163094263337696,11,1,"AALOS","1.668921784325761e-06"
"OG0012301-cds.json",0.127442654882671,0.0286549381583817,11,2,"AALOS;ASAPD","0;0"
"OG0012594-cds.json",0.15474545491444,0.0951956064449977,11,1,"AALOS","3.02039517841024e-08"
"OG0014244-cds.json",0.203531743738481,0.0948835132624671,11,1,"AALOS","1.141864380826974e-12"
"OG0013674-cds.json",0.0436427762729807,0.0250912029393518,11,1,"AALOS","6.747380432159389e-13"
"OG0012571-cds.json",909090909.240005,0.129327914535265,11,1,"AALOS","1.224046253245348e-09"
"OG0013867-cds.json",909090909.251465,0.153179205932805,11,1,"AALOS","5.473855345106138e-07"
"OG0012950-cds.json",909090909.259327,0.0747629095612405,11,1,"AALOS","2.032936263773877e-09"
"OG0010857-cds.json",0.125355974006995,0.100792837215632,11,1,"AALOS","1.197314707379604e-07"
"OG0011800-cds.json",0.134783757313795,0.0961208217799549,11,1,"AALOS","0"
"OG0012790-cds.json",0.624229656050181,0.109404654868204,11,1,"AALOS","3.66739971724428e-11"
"OG0011598-cds.json",0.131397846781382,0.0717183056939459,11,1,"AALOS","0"
"OG0012139-cds.json",1000000000.11673,0.0753715075875528,11,1,"AALOS","7.954215064387427e-11"
"OG0013955-cds.json",909090911.51227,0.291204907400629,11,1,"AALOS","1.943699257100917e-09"
"OG0010938-cds.json",0.214005831724507,0.0604445709310122,11,1,"AALOS","1.079263345360459e-10"
"OG0014270-cds.json",0.180173437656771,0.106141311358653,11,1,"AALOS","0"
"OG0010939-cds.json",909090909.313849,0.110396873666409,11,1,"AALOS","6.353724213425949e-10"
"OG0010286-cds.json",0.203821564185927,0.208281481482045,11,1,"AALOS","3.364111225701016e-07"
"OG0012243-cds.json",0.181301471813115,0.117915552996013,11,1,"AALOS","0"
