# HyPhy output parser
# PYTHON VERSION: 3.10.6
# Script call:    /n/home07/gthomas/projects/hyphy-interface/hyphy_to_csv.py -i /n/holylfs05/LABS/informatics/Users/gthomas/fish/hyphy/absrel/ -m absrel -o absrel.csv
# Runtime:        10/04/2022 11:20:19
# ----------------
# IO OPTIONS
# Input directory:       /n/holylfs05/LABS/informatics/Users/gthomas/fish/hyphy/absrel/
# Hyphy model:           absrel
# Output file:           absrel.csv
# ----------------
# 10.04.2022 | 11:20:19 Begin parsing Hyphy output...
# Original alpha significance threshold	0.01
# Number of files (tests performed)	2718
# Bonferroni adjusted alpha significance level	3.679175864606328e-06
# ----------------
file,baseline mean omega,baseline median omega,num branches,num branches pval less than alpha,branches pval less than alpha,pvals less than alpha
OG0012732-cds.json,909090909.3839984,0.2436139768765012,11,0,,
OG0012647-cds.json,909090909.4112662,0.1524633091187504,11,0,,
OG0014030-cds.json,909090909.1771958,0.09194136166708496,11,0,,
OG0013571-cds.json,0.1271428652004032,0.1225280944999675,11,0,,
OG0013524-cds.json,0.1177241085573892,0.1045559181448092,11,0,,
OG0011691-cds.json,1000000000.153846,0.07631376168646199,11,0,,
OG0010218-cds.json,0.2692669988442894,0.1486243830382387,11,0,,
OG0010505-cds.json,1111111111.159185,0.04335440060766255,11,0,,
OG0013120-cds.json,0.1666239426215103,0.08149069069603217,11,0,,
OG0014306-cds.json,909090909.3108729,0.08955060807799405,11,0,,
OG0013032-cds.json,0.2466541298559219,0.09228721170951769,11,0,,
OG0010729-cds.json,1000000000.146657,0.1616365296710444,11,0,,
OG0014252-cds.json,909090909.3057164,0.1367350995197359,11,0,,
OG0013864-cds.json,0.04070221040336969,0.03343044030639759,11,0,,
OG0013701-cds.json,1000000000.54469,0.1457365959354568,11,0,,
OG0012913-cds.json,0.245006642273456,0.1853309168040673,11,0,,
OG0010393-cds.json,1000000000.23355,0.1729089371758711,11,0,,
OG0014388-cds.json,1000000000.214975,0.08868669240970084,11,0,,
OG0010255-cds.json,0.06362444702324696,0.05790437616043922,11,0,,
OG0010322-cds.json,0.3021416288921138,0.2134874782436396,11,0,,
OG0013901-cds.json,909090909.256731,0.1412388144919849,11,0,,
OG0014121-cds.json,909090909.129321,0.03936964313566707,11,0,,
